Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
Guthix mjolnir,Members,0,0,11,0,0,0,0,0,0,0,14,0,0,0,2.267,6,Polestaves
Heavy ballista,Members,0,0,0,0,125,0,0,0,0,0,0,15,0,0,6,7,Crossbows
Heavy casket,Members,-4,-4,11,-4,0,0,0,0,0,0,9,0,0,0,15,6,Blunt weapons
Hill giant club,Free-to-play,-4,50,65,-4,0,0,0,0,0,-1,70,0,0,0,3.628,7,Blunt weapons
Iron 2h sword,Free-to-play,-4,13,10,-4,0,0,0,0,0,-1,14,0,0,0,3.628,7,Two-handed swords
Iron claws,Members,4,6,-4,0,0,2,3,1,0,0,7,0,0,0,0.907,4,Claws
Iron halberd,Members,9,12,0,-4,0,-1,1,2,0,0,12,0,0,0,3.175,7,Polearms
Iron spear Karambwan_poison,Members,8,8,8,0,0,1,1,0,0,0,10,0,0,0,2.267,5,Spears
Iron spear Unpoisoned,Members,8,8,8,0,0,1,1,0,0,0,10,0,0,0,2.267,5,Spears
Karil's crossbow,Members,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3.628,4,Crossbows
Katana,Members,7,45,0,0,0,3,7,7,0,-3,40,0,0,0,0.453,4,Slashing swords
Large spade,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,3,4,Blunt weapons
Leaf-bladed spear,Members,47,42,36,0,0,1,1,0,0,0,50,0,0,0,2.267,5,Spears
Light ballista,Members,0,0,0,0,110,0,0,0,0,0,0,0,0,0,3,7,Crossbows
Longbow,Free-to-play,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.814,6,Bows
Magic comp bow,Members,0,0,0,0,71,0,0,0,0,0,0,0,0,0,1.8,5,Bows
Magic longbow,Members,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1.814,6,Bows
Magic shortbow,Members,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Maple longbow,Free-to-play,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1.814,6,Bows
Maple shortbow,Free-to-play,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Merfolk trident,Members,8,8,8,0,0,1,1,0,0,0,4,0,0,0,0.907,5,Spears
Mithril 2h sword,Free-to-play,-4,30,24,-4,0,0,0,0,0,-1,31,0,0,0,3.175,7,Two-handed swords
Mithril claws,Members,11,16,-4,0,0,4,8,2,0,0,17,0,0,0,0.907,4,Claws
Mithril halberd,Members,22,28,0,-4,0,-1,2,4,0,0,29,0,0,0,2.721,7,Polearms
Mithril spear Karambwan_poison,Members,17,17,17,0,0,1,1,0,0,0,18,0,0,0,1.814,5,Spears
Mithril spear Unpoisoned,Members,17,17,17,0,0,1,1,0,0,0,18,0,0,0,1.814,5,Spears
Nunchaku,Members,-4,-4,11,-4,0,0,0,0,0,0,14,0,0,0,1.36,5,Blunt weapons
Oak longbow,Free-to-play,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2.267,6,Bows
Oak shortbow,Free-to-play,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1.814,4,Bows
Oddskull,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,Unarmed
Ogre bow,Members,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1.814,8,Bows
Orange salamander,Members,0,19,0,0,29,0,0,0,0,0,31,0,0,0,4,5,Salamanders
Pharaoh's sceptre,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2,4,Polestaves
Rain bow,Members,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Red salamander,Members,0,37,0,0,47,0,0,0,0,0,49,0,0,0,4,5,Salamanders
Rune 2h sword,Free-to-play,-4,69,50,-4,0,0,0,0,0,-1,70,0,0,0,3.628,7,Two-handed swords
Rune claws,Members,26,38,-4,0,0,10,19,5,0,0,39,0,0,0,0.907,4,Claws
Rune halberd,Members,48,67,0,-4,0,-1,4,5,0,0,68,0,0,0,3.175,7,Polearms
Rune spear Karambwan_poison,Members,36,36,36,0,0,1,1,0,0,0,42,0,0,0,2.267,5,Spears
Rune spear Unpoisoned,Members,36,36,36,0,0,1,1,0,0,0,42,0,0,0,2.267,5,Spears
Saradomin godsword,Members,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10,6,Two-handed swords
Saradomin mjolnir,Members,0,0,11,0,0,0,0,0,0,0,14,0,0,0,2.267,6,Polestaves
Saradomin sword,Members,0,82,60,0,0,0,0,0,0,0,82,0,0,2,3,4,Two-handed swords
Saradomin's blessed sword,Members,0,100,60,0,0,0,0,0,0,0,88,0,0,2,3,4,Two-handed swords
Scythe,Free-to-play,3,8,3,0,0,0,3,1,0,0,10,0,0,0,3.175,6,Scythes
Scythe of vitur,Members,50,75,10,-6,0,-2,6,0,0,0,50,0,0,0,3.175,5,Scythes
Seercull,Members,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1.36,5,Bows
Shadow sword,Members,-4,27,21,4,0,0,0,0,4,-1,26,0,0,0,3.628,6,Two-handed swords
Shortbow,Free-to-play,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Signed oak bow,Members,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2.267,6,Bows
Sled Unwaxed,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,4,Unarmed
Sled Waxed,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,4,Unarmed
Spatula,Members,-4,27,21,-4,0,0,0,0,0,-1,26,0,0,0,3.628,7,Two-handed swords
Spear (Last Man Standing),Free-to-play,22,18,0,-4,0,-1,2,4,0,0,20,0,0,0,3.628,7,Polearms
Steel 2h sword,Free-to-play,-4,21,16,-4,0,0,0,0,0,-1,22,0,0,0,3.628,7,Two-handed swords
Steel claws,Members,8,11,-4,0,0,3,6,2,0,0,12,0,0,0,0.907,4,Claws
Steel halberd,Members,14,19,0,-4,0,-1,1,2,0,0,20,0,0,0,3.175,7,Polearms
Steel spear Karambwan_poison,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Spears
Steel spear Unpoisoned,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Spears
Swamp lizard,Members,0,10,0,0,20,0,0,0,0,0,22,0,0,0,4,5,Salamanders
Toktz-mej-tal,Members,15,-1,55,15,0,10,15,5,15,0,55,0,0,5,1.814,6,Stabbing swords
Torag's hammers,Members,-4,-4,85,-4,0,0,0,0,0,0,72,0,0,0,3.628,5,Blunt weapons
Toxic blowpipe,Members,0,0,0,0,60,0,0,0,0,0,0,40,0,0,0.5,3,Thrown weapons
Training bow,Free-to-play,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Twisted adamant trophy,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,15,4,Blunt weapons
Twisted bow,Members,0,0,0,0,70,0,0,0,0,0,0,20,0,4,1.814,6,Bows
Twisted dragon trophy,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,15,4,Blunt weapons
Twisted rune trophy,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,15,4,Blunt weapons
Tzhaar-ket-om,Members,0,0,80,-4,0,0,0,0,0,0,85,0,0,0,3.628,7,Blunt weapons
Tzhaar-ket-om (t),Members,0,0,80,-4,0,0,0,0,0,0,85,0,0,0,3.628,7,Blunt weapons
Verac's flail,Members,68,-2,82,0,0,0,0,0,0,0,72,0,0,6,2.267,5,Spiked weapons
White 2h sword,Members,-4,27,21,-4,0,0,0,0,0,-1,26,0,0,1,3.628,7,Two-handed swords
White claws,Members,10,14,-4,0,0,4,7,2,0,0,14,0,0,1,0.907,4,Claws
White halberd,Members,19,25,0,-4,0,-1,2,3,0,0,20,0,0,1,3.175,7,Polearms
Willow comp bow,Free-to-play,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1.8,5,Bows
Willow longbow,Free-to-play,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1.814,6,Bows
Willow shortbow,Free-to-play,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Yew comp bow,Members,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1.8,5,Bows
Yew longbow,Members,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1.814,6,Bows
Yew shortbow,Members,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1.36,4,Bows
Zamorak godsword,Members,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10,6,Two-handed swords
Zamorak mjolnir,Members,0,0,11,0,0,0,0,0,0,0,14,0,0,0,2.267,6,Polestaves
Zamorakian spear,Members,85,65,65,0,0,13,13,12,0,13,75,0,0,2,3,4,Spears
