Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed,Type, 
Bronze scimitar,Free-to-play,1,7,-2,0,0,0,1,0,0,0,6,0,0,0,1.814,4,Slashing swords,
Bronze sword,Free-to-play,4,3,-2,0,0,0,2,1,0,0,5,0,0,0,1.814,4,Stabbing swords,
Bronze thrownaxe,Members,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,Thrown weapons,
Bronze warhammer,Free-to-play,-4,-4,10,-4,0,0,0,0,0,0,8,0,0,0,1.814,6,Blunt weapons,
Bruma torch,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,4,Unarmed,
Bryophyta's staff Charged,Members,10,-1,40,15,0,2,3,1,15,0,50,0,0,0,1.5,5,Staves,
Bryophyta's staff Uncharged,Members,10,-1,40,15,0,2,3,1,15,0,50,0,0,0,1.5,5,Staves,
Butterfly net,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,4,Spears,
Candy cane,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Spiked weapons,
Carrot sword,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Stabbing swords,
Cattleprod,Members,4,2,-4,1,0,0,0,0,1,0,3,0,0,0,0.453,4,Stabbing swords,
Chaotic handegg,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,Unarmed,
Chinchompa,Members,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,4,Chinchompas,
Cleaver,Members,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Slashing swords,
Clueless scroll,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,1,4,Unarmed,
Cormorant's glove Bird,Members,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.814,4,Unarmed,
Corrupted axe,Members,4,4,4,0,0,0,0,0,0,0,5,0,0,0,0.907,5,Axes,
Corrupted harpoon,Members,4,4,4,0,0,0,0,0,0,0,5,0,0,0,0.907,5,Stabbing swords,
Corrupted pickaxe,Members,4,4,4,0,0,0,0,0,0,0,5,0,0,0,1.36,5,Pickaxes,
Corrupted sceptre,Members,8,10,16,0,0,0,0,0,0,0,20,0,0,0,0.003,5,Blunt weapons,
Crier bell,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Blunt weapons,
Crossbow,Free-to-play,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,6,Crossbows,
Crystal axe (The Gauntlet),Members,4,4,4,0,0,0,0,0,0,0,5,0,0,0,0.907,5,Axes,
Crystal axe Active,Members,-2,38,32,0,0,0,1,0,0,0,42,0,0,0,0.907,5,Axes,
Crystal axe Inactive,Members,-2,38,32,0,0,0,1,0,0,0,42,0,0,0,0.907,5,Axes,
Crystal grail,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,4,Unarmed,
Crystal harpoon (The Gauntlet),Members,4,4,4,0,0,0,0,0,0,0,5,0,0,0,0.907,5,Stabbing swords,
Crystal harpoon Active,Members,38,32,0,0,0,0,1,0,0,0,42,0,0,0,0.907,5,Stabbing swords,
Crystal harpoon Inactive,Members,38,32,0,0,0,0,1,0,0,0,42,0,0,0,0.907,5,Stabbing swords,
Crystal pickaxe (The Gauntlet),Members,4,4,4,0,0,0,0,0,0,0,5,0,0,0,1.36,5,Pickaxes,
Crystal pickaxe Active,Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,1.36,5,Pickaxes,
Crystal pickaxe Inactive,Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,1.36,5,Pickaxes,
Crystal sceptre,Members,8,10,16,0,0,0,0,0,0,0,20,0,0,0,0.003,5,Blunt weapons,
Cursed goblin hammer,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Blunt weapons,
Cursed goblin staff,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,5,Staves,
Cutthroat flag,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Dark dagger,Members,5,3,-4,1,0,0,0,0,1,0,0,0,0,0,0.453,4,Stabbing swords,
Darklight,Members,10,16,-2,0,0,0,3,2,2,0,13,0,0,0,1.814,5,Slashing swords,
Dawnbringer,Members,0,0,0,25,0,2,3,1,15,0,0,0,0,0,1.5,4,Powered staves,
Decorative sword (gold),Free-to-play,20,29,-2,0,0,0,3,2,0,0,31,0,0,0,1.587,5,Slashing swords,
Decorative sword (red),Free-to-play,13,18,-2,0,0,0,3,2,0,0,16,0,0,0,1.587,5,Slashing swords,
Decorative sword (white),Free-to-play,15,20,-2,0,0,0,3,2,0,0,22,0,0,0,1.587,5,Slashing swords,
Dorgeshuun crossbow,Members,0,0,0,0,42,0,0,0,0,0,0,0,0,0,2.267,5,Crossbows,
Dragon axe,Members,-2,38,32,0,0,0,1,0,0,0,42,0,0,0,1.36,5,Axes,
Dragon battleaxe,Members,-2,70,65,0,0,0,0,0,0,-1,85,0,0,0,2.721,6,Axes,
Dragon cane,Members,42,-2,60,0,0,0,0,0,0,0,55,0,0,5,1.814,5,Polestaves,
Dragon crossbow,Members,0,0,0,0,94,0,0,0,0,0,0,0,0,0,6,6,Crossbows,
Dragon dagger,Members,40,25,-4,1,0,0,0,0,1,0,40,0,0,0,0.453,4,Stabbing swords,
Dragon dart,Members,0,0,0,0,18,0,0,0,0,0,0,20,0,0,0,3,Thrown weapons,
Dragon harpoon,Members,38,32,0,0,0,0,1,0,0,0,42,0,0,0,2.267,5,Stabbing swords,
Dragon hasta Karambwan_poison,Members,55,55,55,0,0,-15,-15,-12,0,-15,60,0,0,0,2.267,4,Spears,
Dragon hasta Unpoisoned,Members,55,55,55,0,0,-15,-15,-12,0,-15,60,0,0,0,2.267,4,Spears,
Dragon hunter crossbow,Members,0,0,0,0,95,0,0,0,0,0,0,0,0,0,7,6,Crossbows,
Dragon hunter lance,Members,85,65,65,0,0,0,0,0,0,0,70,0,0,0,3,4,Spears,
Dragon knife,Members,0,0,0,0,28,0,0,0,0,0,0,30,0,0,0,3,Thrown weapons,
Dragon longsword,Members,58,69,-2,0,0,0,3,2,0,0,71,0,0,0,1.814,5,Slashing swords,
Dragon mace,Members,40,-2,60,0,0,0,0,0,0,0,55,0,0,5,1.814,5,Spiked weapons,
Dragon pickaxe,Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,2.4,5,Pickaxes,
Dragon pickaxe (upgraded),Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,2.4,5,Pickaxes,
Dragon pickaxe(or),Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,2.4,5,Pickaxes,
Dragon scimitar,Members,8,67,-2,0,0,0,1,0,0,0,66,0,0,0,1.814,4,Slashing swords,
Dragon scimitar (or),Members,8,67,-2,0,0,0,1,0,0,0,66,0,0,0,1.814,4,Slashing swords,
Dragon sword,Members,65,55,-2,0,0,0,2,1,0,0,63,0,0,0,1.814,4,Stabbing swords,
Dragon thrownaxe,Members,0,0,0,0,36,0,0,0,0,0,0,47,0,0,0,5,Thrown weapons,
Dragon warhammer,Members,-4,-4,95,-4,0,0,0,0,0,0,85,0,0,0,2,6,Blunt weapons,
Dramen staff,Members,-1,-1,10,10,0,2,3,1,10,0,10,0,0,0,1.814,4,Blunt weapons,
Dust battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Earth battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Easter basket,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.1,4,Blunt weapons,
Easter blaster,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Blasters,
Eek,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.07,4,Blunt weapons,
Egg whisk,Members,5,3,-4,1,0,0,0,0,1,0,4,0,0,0,0.453,4,Stabbing swords,
Eldritch nightmare staff,Members,0,0,0,16,0,0,0,0,14,0,0,0,15,0,1.6,5,Staves,
Emerald sickle (b),Members,0,0,0,0,0,0,1,1,1,1,2,0,0,5,1.587,5,Slashing swords,
Empty blaster,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blasters,
Enchanted emerald sickle (b),Members,0,0,0,0,0,0,1,1,1,1,3,0,0,5,1.587,5,Slashing swords,
Enchanted lyre,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,4,Unarmed,
Enchanted ruby sickle (b),Members,0,0,0,0,0,0,1,1,1,1,6,0,0,5,1.587,5,Slashing swords,
Excalibur,Members,20,29,-2,0,0,0,3,2,1,0,25,0,0,0,2.267,5,Slashing swords,
Falconer's glove No_Falcon,Members,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.907,4,Unarmed,
Falconer's glove With_Falcon,Members,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.814,4,Unarmed,
Fine mesh net,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0,4,Blunt weapons,
Fire battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Fox (Recruitment Drive),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,Unarmed,
Fremennik blade,Members,6,29,-2,0,0,0,1,0,0,0,28,0,0,0,1.814,4,Slashing swords,
Frozen abyssal whip,Members,0,82,0,0,0,0,0,0,0,0,82,0,0,0,0.453,4,Whips,
Frying pan,Members,-4,-4,25,-4,0,0,0,0,0,0,20,0,0,0,1.587,6,Blunt weapons,
Ghrazi rapier,Members,94,55,0,0,0,0,0,0,0,0,89,0,0,0,1.814,4,Stabbing swords,
Gilded axe,Free-to-play,-2,26,24,0,0,0,1,0,0,0,29,0,0,0,1.36,5,Axes,
Gilded hasta,Members,36,36,36,0,0,-10,-10,-9,0,-10,42,0,0,0,2.267,5,Spears,
Gilded pickaxe,Free-to-play,26,-2,24,0,0,0,1,0,0,0,29,0,0,0,2.267,5,Pickaxes,
Gilded scimitar,Free-to-play,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Slashing swords,
Glowing dagger,Members,5,3,-4,1,0,0,0,0,1,0,0,0,0,0,0.453,4,Stabbing swords,
Gnomeball,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,Unarmed,
Golden tench,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Gorilla greegree,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Granite hammer,Members,0,0,57,-3,-1,0,0,0,0,0,56,0,0,0,5,4,Blunt weapons,
Granite longsword,Members,56,65,-2,0,0,0,3,2,0,0,62,0,0,0,2.721,5,Slashing swords,
Green banner,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Guilded smile flag,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Guthix crozier,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,2,5,Staves,
Guthix staff,Members,-1,-1,6,6,0,2,3,1,6,0,2,0,0,0,2.267,5,Staves,
Hallowed hammer,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,4,Blunt weapons,
Ham joint,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,Blunt weapons,
Hand fan,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.02,4,Blunt weapons,
Harmonised nightmare staff,Members,0,0,0,16,0,0,0,0,14,0,0,0,15,0,1.6,5,Staves,
Harry's cutlass,Members,3,14,0,-5,0,4,4,4,0,0,22,0,0,0,1.814,4,Slashing swords,
Heat-proof vessel,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,Unarmed,
Holy handegg,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,Unarmed,
Holy water,Members,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,3,Thrown weapons,
Hosidius banner,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Polestaves,
Hunters' crossbow,Members,0,0,0,0,55,0,0,0,0,0,0,0,0,0,5,4,Crossbows,
Hunting knife,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Blunt weapons,
Iban's staff (u),Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Iban's staff Broken,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,1.814,5,Staves,
Iban's staff Regular,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Imbued tephra,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Unarmed,
Incomplete blaster,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blasters,
Infernal axe Charged,Members,-2,38,32,0,0,0,1,0,0,0,42,0,0,0,1.814,5,Axes,
Infernal axe Uncharged,Members,-2,38,32,0,0,0,1,0,0,0,42,0,0,0,1.814,5,Axes,
Infernal harpoon Charged,Members,38,32,0,0,0,0,1,0,0,0,42,0,0,0,2.267,5,Stabbing swords,
Infernal harpoon Uncharged,Members,38,32,0,0,0,0,1,0,0,0,42,0,0,0,2.267,5,Stabbing swords,
Infernal pickaxe Charged,Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,2.4,5,Pickaxes,
Infernal pickaxe Uncharged,Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,2.4,5,Pickaxes,
Inquisitor's mace,Members,52,-4,95,0,0,0,0,0,0,0,89,0,0,2,1.814,4,Spiked weapons,
Iron axe,Free-to-play,-2,5,3,0,0,0,1,0,0,0,7,0,0,0,1.36,5,Axes,
Iron battleaxe,Free-to-play,-2,8,5,0,0,0,0,0,0,-1,13,0,0,0,2.721,6,Axes,
Iron crossbow,Members,0,0,0,0,42,0,0,0,0,0,0,0,0,0,4,6,Crossbows,
Iron dagger,Free-to-play,5,3,-4,1,0,0,0,0,1,0,4,0,0,0,0.453,4,Stabbing swords,
Iron dart,Members,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,Thrown weapons,
Iron hasta Karambwan_poison,Members,8,8,8,0,0,-2,-2,-2,0,-2,10,0,0,0,2.267,5,Spears,
Iron hasta Unpoisoned,Members,8,8,8,0,0,-2,-2,-2,0,-2,10,0,0,0,2.267,5,Spears,
Iron knife,Members,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,3,Thrown weapons,
Iron longsword,Free-to-play,6,8,-2,0,0,0,3,2,0,0,10,0,0,0,1.814,5,Slashing swords,
Iron mace,Free-to-play,4,-2,9,0,0,0,0,0,0,0,7,0,0,1,1.814,5,Spiked weapons,
Iron pickaxe Nightmare_Zone,Members,5,-2,3,0,0,0,1,0,0,0,7,0,0,0,2.267,5,Pickaxes,
Iron pickaxe Regular,Free-to-play,5,-2,3,0,0,0,1,0,0,0,7,0,0,0,2.267,5,Pickaxes,
Iron scimitar,Free-to-play,2,10,-2,0,0,0,1,0,0,0,9,0,0,0,1.814,4,Slashing swords,
Iron sickle,Members,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.587,5,Slashing swords,
Iron sword,Free-to-play,6,4,-2,0,0,0,2,1,0,0,7,0,0,0,1.814,4,Stabbing swords,
Iron thrownaxe,Members,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,5,Thrown weapons,
Iron warhammer,Free-to-play,-4,-4,11,-4,0,0,0,0,0,0,9,0,0,0,1.814,6,Blunt weapons,
Ivandis flail,Members,24,38,62,8,0,4,4,2,8,0,42,0,0,5,0.001,5,Staves,
Jade machete,Members,0,11,-2,0,0,0,1,1,0,0,6,0,0,0,1.36,4,Slashing swords,
Karamjan monkey greegree,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Keris Unpoisoned,Members,40,20,-10,2,0,0,0,0,2,0,30,0,0,2,0.453,4,Stabbing swords,
Killer's knife,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,4,Stabbing swords,
