Name,Members,Stab,Slash,Crush,Magic atk,Ranged atk,Stab def,Slash def,Cruch def,Magic def,Ranged def,str,Ranged str,Magic str,Prayer,Weigth
Iron spear#Poison++, Pay-to-play,8,8,8,0,0,1,1,0,0,0,10,0,0,0,2.267
Karil's crossbow#(broken), Pay-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.628
Karil's crossbow#25, Pay-to-play,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3.628
Karil's crossbow#75, Pay-to-play,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3.628
Katana, Pay-to-play,7,45,0,0,0,3,7,7,0,-3,40,0,0,0,0.453
Leaf-bladed spear, Pay-to-play,47,42,36,0,0,1,1,0,0,0,50,0,0,0,2.267
Longbow, Free-to-play,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.814
Magic longbow, Pay-to-play,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1.814
Magic shortbow (i), Pay-to-play,0,0,0,0,75,0,0,0,0,0,0,0,0,0,1.36
Maple shortbow, Free-to-play,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1.36
Mithril 2h sword, Free-to-play,-4,30,24,-4,0,0,0,0,0,-1,31,0,0,0,3.175
Mithril halberd, Pay-to-play,22,28,0,-4,0,-1,2,4,0,0,29,0,0,0,2.721
Mithril spear#Poison, Pay-to-play,17,17,17,0,0,1,1,0,0,0,18,0,0,0,1.814
Mithril spear#Poison++, Pay-to-play,17,17,17,0,0,1,1,0,0,0,18,0,0,0,1.814
Nunchaku, Pay-to-play,-4,-4,11,-4,0,0,0,0,0,0,14,0,0,0,1.36
Oak shortbow, Free-to-play,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1.814
Ogre bow, Pay-to-play,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1.814
Paddle, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Pharaoh's sceptre#(1), Pay-to-play,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2
Pharaoh's sceptre#(3), Pay-to-play,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2
Pharaoh's sceptre#(5), Pay-to-play,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2
Pharaoh's sceptre#(7), Pay-to-play,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2
Pharaoh's sceptre#Uncharged, Pay-to-play,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2
Red salamander, Pay-to-play,0,37,0,0,47,0,0,0,0,0,49,0,0,0,4
Rune claws, Pay-to-play,26,38,-4,0,0,10,19,5,0,0,39,0,0,0,0.907
Rune spear#Karambwan poison, Pay-to-play,36,36,36,0,0,1,1,0,0,0,42,0,0,0,2.267
Rune spear#Poison+, Pay-to-play,36,36,36,0,0,1,1,0,0,0,42,0,0,0,2.267
Rune spear#Unpoisoned, Pay-to-play,36,36,36,0,0,1,1,0,0,0,42,0,0,0,2.267
Saradomin godsword (or), Pay-to-play,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10
Saradomin sword, Pay-to-play,0,82,60,0,0,0,0,0,0,0,82,0,0,2,3
Scythe, Free-to-play,3,8,3,0,0,0,3,1,0,0,10,0,0,0,3.175
Scythe of vitur#Uncharged, Pay-to-play,50,75,10,-6,0,-2,6,0,0,0,50,0,0,0,3.175
Shadow sword, Pay-to-play,-4,27,21,4,0,0,0,0,4,-1,26,0,0,0,3.628
Signed oak bow, Pay-to-play,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2.267
Sled#Unwaxed, Pay-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018
Spatula, Pay-to-play,-4,27,21,-4,0,0,0,0,0,-1,26,0,0,0,3.628
Steel 2h sword, Free-to-play,-4,21,16,-4,0,0,0,0,0,-1,22,0,0,0,3.628
Steel halberd, Pay-to-play,14,19,0,-4,0,-1,1,2,0,0,20,0,0,0,3.175
Steel spear#Poison, Pay-to-play,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267
Steel spear#Poison++, Pay-to-play,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267
Swamp lizard, Pay-to-play,0,10,0,0,20,0,0,0,0,0,22,0,0,0,4
Torag's hammers#(broken), Pay-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.628
Torag's hammers#25, Pay-to-play,-4,-4,85,-4,0,0,0,0,0,0,72,0,0,0,3.628
Torag's hammers#75, Pay-to-play,-4,-4,85,-4,0,0,0,0,0,0,72,0,0,0,3.628
Toxic blowpipe#Charged, Pay-to-play,0,0,0,0,60,0,0,0,0,0,0,40,0,0,0.5
Training bow, Free-to-play,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.36
Twisted bow, Pay-to-play,0,0,0,0,70,0,0,0,0,0,0,20,0,4,1.814
Twisted rune trophy, Pay-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,15
Tzhaar-ket-om (t), Pay-to-play,0,0,80,-4,0,0,0,0,0,0,85,0,0,0,3.628
Verac's flail#100, Pay-to-play,68,-2,82,0,0,0,0,0,0,0,72,0,0,6,2.267
Verac's flail#50, Pay-to-play,68,-2,82,0,0,0,0,0,0,0,72,0,0,6,2.267
Verac's flail#Undamaged, Pay-to-play,68,-2,82,0,0,0,0,0,0,0,72,0,0,6,2.267
White claws, Pay-to-play,10,14,-4,0,0,4,7,2,0,0,14,0,0,1,0.907
White halberd, Pay-to-play,19,25,0,-4,0,-1,2,3,0,0,20,0,0,1,3.175
Willow comp bow, Free-to-play,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1.8
Willow shortbow, Free-to-play,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1.814
Yew comp bow,Free-to-play,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1.36
Yew longbow, Pay-to-play,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1.8
Yew shortbow, Free-to-play,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1.814
Zamorak godsword, Pay-to-play,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10
Zamorak godsword (or), Pay-to-play,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10
Zamorak mjolnir, Pay-to-play,0,0,11,0,0,0,0,0,0,0,14,0,0, ,2.267
Zamorakian spear, Pay-to-play,85,65,65,0,0,13,13,12,0,13,75,0,0,2,3
