Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
Clown gown,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
Clue hunter garb,Members,0,0,0,-2,2,8,9,10,4,9,0,0,0,0,2,0
Corrupted body (attuned),Members,12,12,4,12,12,102,102,102,102,102,0,0,0,4,9.979,0
Corrupted body (basic),Members,8,8,3,8,8,86,86,86,86,86,0,0,0,3,9.979,0
Corrupted body (perfected),Members,15,16,5,16,16,124,124,124,124,124,0,0,0,5,9.979,0
Corrupted platebody,Members,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,9.979,0
Cow top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Cream robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Crier coat,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
Crystal body (attuned),Members,12,12,4,12,12,102,102,102,102,102,0,0,0,4,9.979,0
Crystal body (basic),Members,8,8,3,8,8,86,86,86,86,86,0,0,0,3,9.979,0
Crystal body (perfected),Members,15,16,5,16,16,124,124,124,124,124,0,0,0,5,9.979,0
Crystal body Active,Members,0,0,0,-18,30,34,24,32,44,53,0,0,0,3,9.979,0
Crystal body Inactive,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.979,0
Dagon'hai robe top,Members,0,0,0,25,0,0,0,0,21,0,0,0,0,2,2.267,0
Dark infinity top,Members,0,0,0,22,0,0,0,0,22,0,0,0,0,0,2.267,0
Dark tuxedo jacket,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Deadman's chest Cosmetic,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0
Deadman's chest Deadman_mode,Members,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,9.979,0
Decorative armour (gold platebody) Broken,Members,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,8.618,0
Decorative armour (gold platebody) Locked,Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,8.618,0
Decorative armour (gold platebody) Normal,Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,8.618,0
Decorative armour (magic top) Broken,Members,0,0,0,0,0,20,20,20,20,20,0,0,0,0,6.803,0
Decorative armour (magic top) Locked,Members,0,0,0,0,0,20,20,20,20,20,0,0,0,0,6.803,0
Decorative armour (magic top) Normal,Members,0,0,0,0,0,20,20,20,20,20,0,0,0,0,6.803,0
Decorative armour (ranged top) Broken,Members,0,0,0,0,0,20,20,20,20,20,0,0,0,0,6.803,0
Decorative armour (ranged top) Locked,Members,0,0,0,0,0,20,20,20,20,20,0,0,0,0,6.803,0
Decorative armour (ranged top) Normal,Members,0,0,0,0,0,20,20,20,20,20,0,0,0,0,6.803,0
Decorative armour (red platebody),Free-to-play,0,0,0,-30,-10,32,31,24,-6,31,0,0,0,0,8.618,0
Decorative armour (white platebody),Free-to-play,0,0,0,-30,-10,46,44,38,-6,44,0,0,0,0,8.618,0
Desert camo top,Members,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226,0
Desert shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Desert top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Desert top (overcoat),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Dharok's platebody (broken),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.979,0
Dharok's platebody 100,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Dharok's platebody 25,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Dharok's platebody 50,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Dharok's platebody 75,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Dharok's platebody Undamaged,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Dragon chainbody,Members,0,0,0,-15,0,81,93,98,-3,82,0,0,0,0,6.803,0
Dragon chainbody (g),Members,0,0,0,-15,0,81,93,98,-3,82,0,0,0,0,6.803,0
Dragon platebody,Members,0,0,0,-30,-10,109,107,97,-6,106,0,0,0,0,11.339,0
Dragon platebody (g),Members,0,0,0,-30,-10,109,107,97,-6,106,0,0,0,0,11.339,0
Dragonstone platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Druid's robe top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.907,0
Eggshell platebody,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,0
Elder chaos top,Members,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0.2,0
Elite void top Broken,Members,0,0,0,0,0,45,45,45,45,45,0,0,0,3,6.803,0
Elite void top Locked,Members,0,0,0,0,0,45,45,45,45,45,0,0,0,3,6.803,0
Elite void top Normal,Members,0,0,0,0,0,45,45,45,45,45,0,0,0,3,6.803,0
Elven top (white vest),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Elven top (white),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Elven top (yellow vest),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Elven top (yellow),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Enchanted top,Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721,0
Evil chicken wings,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Farmer's jacket,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Farmer's shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Fighter torso Broken,Members,0,0,0,-40,0,62,85,62,-10,67,4,0,0,0,4,0
Fighter torso Locked,Members,0,0,0,-40,0,62,85,62,-10,67,4,0,0,0,4,0
Fighter torso Normal,Members,0,0,0,-40,0,62,85,62,-10,67,4,0,0,0,4,0
Fremennik beige shirt,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Fremennik blue shirt,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Fremennik brown shirt,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Fremennik grey shirt,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Fremennik red shirt,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Fremennik robe,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Frog-leather body,Members,0,0,0,-5,10,23,26,30,15,32,0,0,0,0,5,0
Ghostly robe (top),Members,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0.001,0
Gilded chainbody,Free-to-play,0,0,0,-15,0,63,72,78,-3,65,0,0,0,0,6.803,0
Gilded d'hide body,Free-to-play,0,0,0,-15,15,40,32,45,20,40,0,0,0,0,6,0
Gilded platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Gold elegant blouse,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Gold elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Golden apron,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,0
Graahk top,Members,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226,0
Graceful top Agility_Arena,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Arceuus,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Hallowed_Sepulchre,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Hosidius,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Kourend,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Lovakengj,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Piscarilius,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Regular,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Graceful top Shayzien,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Granite body,Members,0,0,0,-22,-5,87,84,79,-6,97,0,0,0,0,22.679,0
Gravedigger top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
Green d'hide body,Free-to-play,0,0,0,-15,15,40,32,45,20,40,0,0,0,0,6.803,0
Green d'hide body (g),Free-to-play,0,0,0,-15,15,40,32,45,20,40,0,0,0,0,6.803,0
Green d'hide body (t),Free-to-play,0,0,0,-15,15,40,32,45,20,40,0,0,0,0,6.803,0
Green elegant blouse,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Green elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Green naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Green robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Grey naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Grey robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Guthan's platebody (broken),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.979,0
Guthan's platebody 100,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Guthan's platebody 25,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Guthan's platebody 50,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Guthan's platebody 75,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Guthan's platebody Undamaged,Members,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979,0
Guthix d'hide body,Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,6,0
Guthix platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,1,9.979,0
Guthix robe top,Members,0,0,0,4,0,0,0,0,4,0,0,0,0,6,1.8,0
Ham shirt,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Hardcore ironman platebody,Free-to-play,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,4.535,0
Hardleather body,Free-to-play,0,0,0,-4,8,12,15,18,6,15,0,0,0,0,3.628,0
Infinity top,Members,0,0,0,22,0,0,0,0,22,0,0,0,0,0,2.267,0
Initiate hauberk,Members,0,0,0,-30,-10,46,44,38,-6,44,0,0,0,6,8.618,0
Inquisitor's hauberk,Members,-3,-3,12,-11,-10,67,55,71,0,35,4,0,0,2,9.979,0
Iron chainbody,Free-to-play,0,0,0,-15,0,10,15,19,-3,12,0,0,0,0,6.803,0
Iron platebody,Free-to-play,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,9.979,0
Iron platebody (g),Free-to-play,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,9.979,0
Iron platebody (t),Free-to-play,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,9.979,0
Ironman platebody,Free-to-play,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,4.535,0
Jungle camo top,Members,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226,0
Justiciar chestguard,Members,0,0,0,-40,-20,132,130,117,-16,142,0,0,0,4,9.979,0
Karil's leathertop (broken),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.803,0
Karil's leathertop 100,Members,0,0,0,-15,30,47,42,50,65,57,0,0,0,0,6.803,0
Karil's leathertop 25,Members,0,0,0,-15,30,47,42,50,65,57,0,0,0,0,6.803,0
Karil's leathertop 50,Members,0,0,0,-15,30,47,42,50,65,57,0,0,0,0,6.803,0
Karil's leathertop 75,Members,0,0,0,-15,30,47,42,50,65,57,0,0,0,0,6.803,0
Karil's leathertop Undamaged,Members,0,0,0,-15,30,47,42,50,65,57,0,0,0,0,6.803,0
Khazard armour,Members,0,0,0,0,0,9,11,10,0,0,0,0,0,0,0.566,0
Kyatt top,Members,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226,0
Larupia top,Members,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226,0
Leather body,Free-to-play,0,0,0,-2,2,8,9,10,4,9,0,0,0,0,2.721,0
Leather body (g),Free-to-play,0,0,0,-2,2,8,9,10,4,9,0,0,0,0,5.443,0
Lederhosen top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,0
Light infinity top,Members,0,0,0,22,0,0,0,0,22,0,0,0,0,0,2.267,0
Light tuxedo jacket,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Lumberjack top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0
Lunar torso,Members,0,0,0,10,-10,34,22,40,12,0,0,0,0,0,4.535,0
Medical gown,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,0
Menaphite purple top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Menaphite red top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Mime top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
Mithril chainbody,Free-to-play,0,0,0,-15,0,25,35,42,-3,27,0,0,0,0,5.896,0
Mithril platebody,Free-to-play,0,0,0,-30,-10,46,44,38,-6,44,0,0,0,0,8.618,0
Mithril platebody (g),Free-to-play,0,0,0,-30,-10,46,44,38,-6,44,0,0,0,0,9.979,0
Mithril platebody (t),Free-to-play,0,0,0,-30,-10,46,44,38,-6,44,0,0,0,0,8.618,0
Monk's robe top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.907,0
Monk's robe top (g),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.907,0
Monk's robe top (t),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.907,0
Moonclan armour,Members,0,0,0,5,-10,5,5,5,5,-10,0,0,0,0,4.535,0
Mourner top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.721,0
Mummy's body,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Musketeer tabard,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,0
Mystic robe top,Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721,0
Mystic robe top (dark),Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721,0
Mystic robe top (dusk),Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721,0
Mystic robe top (light),Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721,0
Obsidian platebody,Members,0,0,0,0,0,55,78,56,-15,60,3,0,0,0,9.979,0
Ornate top,Free-to-play,0,0,0,-15,0,10,15,19,-3,12,0,0,0,0,11.339,0
Pink elegant blouse,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Pink elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Pink robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Plague jacket,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.721,0
Polar camo top,Members,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226,0
Priest gown (top),Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.814,0
Prince tunic,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.721,0
Princess blouse,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.721,0
Proselyte hauberk,Members,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,8,8.618,0
Prospector jacket,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0
Purple elegant blouse,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Purple elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Purple naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Purple robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Pyromancer garb,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
Rangers' tunic,Members,0,0,0,-15,15,6,9,12,6,6,0,0,0,0,3,0
Red d'hide body,Members,0,0,0,-15,25,50,42,55,40,50,0,0,0,0,6.803,0
Red d'hide body (g),Members,0,0,0,-15,25,50,42,55,40,50,0,0,0,0,6.803,0
Red d'hide body (t),Members,0,0,0,-15,25,50,42,55,40,50,0,0,0,0,6.803,0
Red elegant blouse,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Red elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Red naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Red robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Robe of elidinis (top),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Robe top of darkness,Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721,0
Rock-shell plate,Members,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rogue top,Members,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0.453,0
Royal gown top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0
Rune chainbody,Free-to-play,0,0,0,-15,0,63,72,78,-3,65,0,0,0,0,6.803,0
Rune platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (g),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (h1),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (h2),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (h3),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (h4),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (h5),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Rune platebody (t),Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979,0
Samurai shirt,Members,0,0,0,0,0,69,67,59,10,67,0,0,0,0,2,0
Sandwich lady top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Santa jacket,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
Saradomin d'hide body,Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,6,0
Saradomin platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,1,9.979,0
Saradomin robe top,Members,0,0,0,4,0,0,0,0,4,0,0,0,0,6,1.8,0
Shade robe top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.907,0
Shayzien platebody (1),Members,0,0,0,-5,0,16,20,22,-2,16,0,0,0,0,9.979,0
Shayzien platebody (2),Members,0,0,0,-7,0,20,25,30,-3,20,0,0,0,0,9.979,0
Shayzien platebody (3),Members,0,0,0,-8,0,25,32,35,-3,22,0,0,0,0,9.979,0
